特别提示：
1.本记账单内容可表明支付宝受理了相应记账明细申请，因系统原因或通讯故障等偶发因素导致本记账单与实际记账结果不符时，以实际记账情况为准；
2.请勿将本记账单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作;
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本记账单进行重复记账;
4.本记账单如经任何涂改、编造，均立即失去效力；
5.部分记账如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.禁止将本记账单用于非法用途；
7.本明细仅展示当前记账本中的明细，不包括己删除的记录；
8.本明细仅供个人记账使用。

记录时间,分类,收支类型,金额,备注,账户,来源,标签,
2026-02-20 18:03:55,餐饮,支出,64.30,赵一鸣零食连锁,花呗,账单同步,,
2026-02-15 11:26:49,交通,支出,67.64,高德打车订单,花呗,账单同步,,
2026-02-15 09:16:06,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-14 09:15:42,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-13 09:15:50,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-12 20:21:32,餐饮,支出,23.50,淘宝便利店(宝安公路店),中国银行,账单同步,,
2026-02-12 19:30:03,餐饮,支出,1.92,瑞幸咖啡(水产西路华馨苑北门店)外卖订单,花呗,账单同步,,
2026-02-12 09:15:50,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-11 09:16:00,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-10 09:16:09,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-09 09:49:20,交通,支出,19.51,高德打车订单,花呗,账单同步,,
2026-02-09 09:16:36,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-08 09:16:28,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-07 09:16:20,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-06 09:49:38,交通,支出,22.87,高德打车订单,花呗,账单同步,,
2026-02-06 09:16:26,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-05 10:18:13,生活日用,支出,80.00,Cursor Pro Plan 20$ 一个月独享成品号,花呗,账单同步,,
2026-02-05 09:16:26,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-04 09:16:34,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-03 23:44:50,借还款,不计收支,44.79,花呗主动还款-2026年02月账单,中国银行|花呗,账单同步,,
2026-02-03 09:16:41,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-02 09:17:18,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-02-01 09:17:46,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-31 09:17:16,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-30 21:57:37,交通,支出,14.80,高德打车订单,花呗,账单同步,,
2026-01-30 19:37:38,生活服务,支出,20.00,oppok11一加13小米12红米k60红魔iqoo7 刷机root救砖面具ksu环境,中国银行,账单同步,,
2026-01-30 19:23:18,生活服务,支出,25.00,oppok11一加13小米12红米k60红魔iqoo7 刷机root救砖面具ksu环境,中国银行,账单同步,,
2026-01-30 09:59:24,交通,支出,15.69,高德打车订单,花呗,账单同步,,
2026-01-30 09:17:31,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-29 21:33:02,交通,支出,14.30,高德打车订单,花呗,账单同步,,
2026-01-29 09:17:32,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-28 10:46:50,其他,不计收支,2.00,美团订单-26012811100400001309402291098794,,账单同步,,
2026-01-28 09:18:01,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-27 09:18:11,转账,支出,1.00,支付宝小荷包-自动攒,中国银行,账单同步,,
2026-01-26 13:19:39,其他,不计收支,29.90,Antigravity 3.0 Pro,,账单同步,,
2026-01-26 09:18:58,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-25 09:18:53,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-24 15:19:36,其他,不计收支,4.00,上海火车站-宝安公路,,账单同步,,
2026-01-24 11:05:39,其他,不计收支,33.93,高德打车订单,,账单同步,,
2026-01-24 09:18:44,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-23 09:19:01,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-22 09:19:04,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-21 09:19:23,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-20 09:19:40,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-19 09:20:19,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-18 09:20:10,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-17 09:20:01,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-16 09:20:23,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-15 22:14:33,生活服务,支出,0.24,饮水支付,余额宝,账单同步,,
2026-01-15 17:41:51,生活日用,支出,40.00,Gemini 3.0 Pro 拼车一年,余额宝,账单同步,,
2026-01-15 09:20:20,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-14 09:20:13,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-13 13:45:40,其他,不计收支,118.00,抖音电商-订单编号6949912829670856506,,账单同步,,
2026-01-13 09:20:18,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-12 13:05:02,借还款,不计收支,74.85,花呗主动还款-2026年02月账单,中国银行|花呗,账单同步,,
2026-01-12 09:20:57,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-11 09:20:48,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-10 09:20:46,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-09 09:20:44,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-08 17:22:49,交通,支出,3.00,沈阳地铁-乘车(东中街-市图书馆-2026-01-08 17:18:27),花呗,账单同步,,
2026-01-08 15:31:44,交通,支出,2.85,沈阳地铁-乘车(市图书馆-东中街-2026-01-08 15:31:12),花呗,账单同步,,
2026-01-08 09:20:40,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-07 12:25:52,生活服务,支出,20.00,校园充值,余额宝,账单同步,,
2026-01-07 09:20:48,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-06 09:20:55,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-06 04:28:22,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2026-01-05 15:42:32,借还款,不计收支,256.38,花呗主动还款-2026年01月账单,中国银行|花呗,账单同步,,
2026-01-05 09:21:31,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-05 05:33:47,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2026-01-04 09:21:19,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-04 05:15:21,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2026-01-03 14:54:30,退款,不计收支,125.62,退款-Gemini3会员成品号Gemini pro 3 代充独享学生优惠认证nanobanana,花呗,账单同步,,
2026-01-03 14:38:24,生活日用,支出,28.80,Gemini教育邮箱成品12个月,余额宝,账单同步,,
2026-01-03 12:36:18,穿搭美容,支出,69.00,AHC官方旗舰店小黑管眼霜保湿修护改善细纹2支【效期至26年10月】,花呗,账单同步,,
2026-01-03 09:21:11,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-03 05:54:30,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2026-01-02 17:39:54,休闲玩乐,支出,138.00,连续包年(网盘SVIP会员),余额宝,账单同步,,
2026-01-02 11:07:35,金融保险,支出,40.20,抖音月付,余额宝,账单同步,,
2026-01-02 09:21:19,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-02 05:13:23,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
2026-01-01 09:21:45,转账,支出,1.00,支付宝小荷包-自动攒,余额宝,账单同步,,
2026-01-01 04:35:37,投资理财,收入,0.01,余额宝-收益发放,余额宝,账单同步,,
